[12/Mar/2025:08:39:22 +0000] - 200 200 - GET http phpmyadmin.localhost "/" [Client 127.0.0.1] [Length 3495] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "-"
[12/Mar/2025:08:39:22 +0000] - 200 200 - GET http phpmyadmin.localhost "/js/messages.php?l=en&v=5.2.2&lang=en" [Client 127.0.0.1] [Length 7946] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/"
[12/Mar/2025:08:45:23 +0000] - 200 200 - GET http phpmyadmin.localhost "/" [Client 127.0.0.1] [Length 4595] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "-"
[12/Mar/2025:08:45:24 +0000] - 200 200 - GET http phpmyadmin.localhost "/js/messages.php?l=en&v=5.2.2" [Client 127.0.0.1] [Length 7946] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/"
[12/Mar/2025:08:46:34 +0000] - 200 200 - GET http phpmyadmin.localhost "/" [Client 127.0.0.1] [Length 4589] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "-"
[12/Mar/2025:08:50:08 +0000] - 200 200 - GET http phpmyadmin.localhost "/" [Client 127.0.0.1] [Length 3542] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "-"
[12/Mar/2025:08:50:28 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/" [Client 127.0.0.1] [Length 3636] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/"
[12/Mar/2025:08:51:07 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/" [Client 127.0.0.1] [Length 3641] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:08:51:07 +0000] - 200 200 - GET http phpmyadmin.localhost "/js/messages.php?l=en&v=5.2.2&server=2" [Client 127.0.0.1] [Length 7948] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:08:51:20 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/" [Client 127.0.0.1] [Length 3638] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:08:56:07 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/" [Client 127.0.0.1] [Length 3542] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:08:56:15 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/" [Client 127.0.0.1] [Length 3637] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:09:03:30 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/" [Client 127.0.0.1] [Length 3555] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:09:03:39 +0000] - 302 302 - POST http phpmyadmin.localhost "/index.php?route=/" [Client 127.0.0.1] [Length 20] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:09:03:39 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/" [Client 127.0.0.1] [Length 25281] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
