[12/Mar/2025:09:58:44 +0000] - 200 200 - GET http portainer.localhost "/" [Client 127.0.0.1] [Length 8721] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "-"
[12/Mar/2025:09:58:47 +0000] - 200 200 - GET http portainer.localhost "/locales/en/translation.json" [Client 127.0.0.1] [Length 765] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:47 +0000] - 404 404 - GET http portainer.localhost "/locales/de/translation.json" [Client 127.0.0.1] [Length 19] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:48 +0000] - 401 401 - GET http portainer.localhost "/api/users/me" [Client 127.0.0.1] [Length 77] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:48 +0000] - 200 200 - GET http portainer.localhost "/api/system/status" [Client 127.0.0.1] [Length 72] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:48 +0000] - 200 200 - GET http portainer.localhost "/api/settings/public" [Client 127.0.0.1] [Length 491] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:48 +0000] - 200 200 - GET http portainer.localhost "/api/settings/public" [Client 127.0.0.1] [Length 491] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:48 +0000] - 204 204 - GET http portainer.localhost "/api/users/admin/check" [Client 127.0.0.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:54 +0000] - 200 200 - POST http portainer.localhost "/api/auth" [Client 127.0.0.1] [Length 305] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:54 +0000] - 200 200 - GET http portainer.localhost "/api/users/me" [Client 127.0.0.1] [Length 200] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:54 +0000] - 200 200 - GET http portainer.localhost "/api/endpoints?limit=1&sort=&order=asc&excludeSnapshots=true" [Client 127.0.0.1] [Length 1550] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
