[13/Mar/2025:10:04:33 +0000] - 200 200 - GET https mpm.localhost "/" [Client 127.0.0.1] [Length 752] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "-"
[13/Mar/2025:10:04:33 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:04:34 +0000] - 200 200 - GET https mpm.localhost "/images/favicons/site.webmanifest" [Client 127.0.0.1] [Length 458] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:04:34 +0000] - 401 401 - GET https mpm.localhost "/api/tokens" [Client 127.0.0.1] [Length 46] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:04:34 +0000] - 200 200 - GET https mpm.localhost "/login" [Client 127.0.0.1] [Length 777] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:04:34 +0000] - 200 200 - GET https mpm.localhost "/images/favicons/site.webmanifest" [Client 127.0.0.1] [Length 458] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/login"
[13/Mar/2025:10:04:49 +0000] - 200 200 - POST https mpm.localhost "/api/tokens" [Client 127.0.0.1] [Length 593] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/login"
[13/Mar/2025:10:04:49 +0000] - 200 200 - GET https mpm.localhost "/" [Client 127.0.0.1] [Length 752] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/login"
[13/Mar/2025:10:04:49 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:04:49 +0000] - 200 200 - GET https mpm.localhost "/api/tokens" [Client 127.0.0.1] [Length 593] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:04:49 +0000] - 200 200 - GET https mpm.localhost "/images/favicons/site.webmanifest" [Client 127.0.0.1] [Length 458] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:04:49 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:04:50 +0000] - 200 200 - GET https mpm.localhost "/api/reports/hosts" [Client 127.0.0.1] [Length 47] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:04:58 +0000] - 200 200 - GET https mpm.localhost "/api/settings" [Client 127.0.0.1] [Length 149] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/settings"
[13/Mar/2025:10:05:19 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/settings"
[13/Mar/2025:10:05:20 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/settings"
[13/Mar/2025:10:05:22 +0000] - 200 200 - PUT https mpm.localhost "/api/settings/default-site" [Client 127.0.0.1] [Length 158] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/settings"
[13/Mar/2025:10:05:50 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/settings"
[13/Mar/2025:10:05:50 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/settings"
[13/Mar/2025:10:05:57 +0000] - 200 200 - GET https mpm.localhost "/api/nginx/access-lists?expand=owner,items,clients" [Client 127.0.0.1] [Length 428] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/access"
[13/Mar/2025:10:06:20 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/access"
[13/Mar/2025:10:06:20 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/access"
[13/Mar/2025:10:06:51 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/access"
[13/Mar/2025:10:06:51 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/access"
[13/Mar/2025:10:07:17 +0000] - 200 200 - DELETE https mpm.localhost "/api/nginx/access-lists/1" [Client 127.0.0.1] [Length 4] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/access"
[13/Mar/2025:10:07:17 +0000] - 200 200 - GET https mpm.localhost "/api/nginx/access-lists?expand=owner,items,clients" [Client 127.0.0.1] [Length 2] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/access"
[13/Mar/2025:10:07:22 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:07:22 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/"
[13/Mar/2025:10:07:22 +0000] - 200 200 - GET https mpm.localhost "/api/nginx/dead-hosts?expand=owner,certificate" [Client 127.0.0.1] [Length 2] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/404"
[13/Mar/2025:10:07:25 +0000] - 200 200 - GET https mpm.localhost "/api/nginx/certificates" [Client 127.0.0.1] [Length 2248] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/404"
[13/Mar/2025:10:07:42 +0000] - 200 200 - GET https mpm.localhost "/api/nginx/proxy-hosts?expand=owner,access_list,certificate" [Client 127.0.0.1] [Length 785] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:07:52 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:07:52 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
